Site ID,Screening Flag,Parameter Group,Location Group Name,Field Sample ID,Location ID,Sample Date,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Sample Time,Sample Usage Code,Latitude (Decimal),Longitude (Decimal),Filtered,Field Preparation Code,Field Sample Comments,Lab Matrix,COC #,Lab Method,Report Detection Limit
"N3B","N","METALS","StreamGages_Sandia","WT_GSM-24-323312","Sandia above SR-4","09-17-2024","Lead","0.678","ug/L","J","Y","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.8","2.00"
"N3B","N","METALS","StreamGages_Sandia","WT_GSM-24-323318","Sandia above SR-4","09-17-2024","Lead","236","ug/L",,"Y","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.8","20.0"
"N3B","N","METALS","StreamGages_Sandia","WT_GSM-24-323318","Sandia above SR-4","09-17-2024","Selenium","15.0","ug/L","U","N","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_GSM-24-323312","Sandia above SR-4","09-17-2024","Selenium","1.50","ug/L","U","N","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.8","5.00"
"N3B","N","METALS","StreamGages_Sandia","WT_GSM-24-323312","Sandia above SR-4","09-17-2024","Manganese","19.2","ug/L",,"Y","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.7","10.0"
"N3B","N","METALS","StreamGages_Sandia","WT_GSM-24-323312","Sandia above SR-4","09-17-2024","Zinc","6.77","ug/L","J","Y","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.7","20.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_GSM-24-323300","Sandia above SR-4","09-17-2024","Temperature","4","deg C",,"Y","W","REG","WT","14:36","INV","35.859067400000","-106.226188900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 325","W","N3B-2024-5092","EPA:170.0",
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_GSM-24-323294","Sandia above SR-4","09-17-2024","Temperature","4","deg C",,"Y","W","REG","WT","14:34","INV","35.859067400000","-106.226188900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 325","W","N3B-2024-5092","EPA:170.0",
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_GSM-24-323318","Sandia above SR-4","09-17-2024","Potassium","19.9","mg/L",,"Y","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.7","2.5"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_GSM-24-323288","Sandia above SR-4","09-17-2024","Temperature","4","deg C",,"Y","W","REG","WT","14:30","INV","35.859067400000","-106.226188900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:170.0",
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_GSM-24-323312","Sandia above SR-4","09-17-2024","Potassium","2.95","mg/L",,"Y","W","REG","WT","14:32","INV","35.859067400000","-106.226188900000","Y","F"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts: 329","W","N3B-2024-5092","EPA:200.7","0.25"
