Site ID,Screening Flag,Field Sample ID,Location ID,Sample Date,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Sample Time,Sample Usage Code,Latitude (Decimal),Longitude (Decimal),Filtered,Field Sample Comments,Lab Matrix,COC #,Lab Method,Report Detection Limit,% Moisture,AirNET Background Exclusion Flag,Analysis Date,Analysis Deferred,Analysis Lot ID,Analysis Run #,Analysis Subcontracted,Analysis Suite Code,Analysis Time,Analysis Type Code,Analytical Group Name,Background Comparison Class Code,Basis,Best Value,Best Value Status Code,Blank Correction,Calibration Reference ID,Composite,Composite Description,Composite Field Sample ID,Composite Type Code,Confidential,Count Duration,Count Duration Units,Critical Level (Lc),Data Steward Code,Dilution Factor,Easting,Error/Uncertainty,Estimated Detection Limit,Excavated,Expected Value,Field Filtered,Field Preparation Code,Field Sample Record Source ID,Field Sample Result Record #,Field Sample Result Record Source ID,Final Leachate pH,Full Width Half Max (FWHM),Holding Time Release Date,Initial Leachate Amount,Initial Leachate Amount Units,Initial Leachate pH,Initial Prep Amount,Initial Prep Amount Units,Instrument Detection Limit,Instrument ID,Intellus Holding Flag,Intellus Release Date,Lab Blank Sample ID,Lab Detection Limit,Lab ID,Lab Parameter Name,Lab QC Reporting Option,Lab Receipt Date,Lab Report Approved by,Lab Report Date,Lab Reporting Limit Type,Lab Result,Lab Sample ID,Lab Uncertainty,Lab Units,Last Modified Date,Leachate Extraction Fluid,Leachate Lot ID,Leachate Volume,Leachate Volume Units,Leached,Leached Date,Leached Time,Leaching Method,Location Alias,Manually Validated By,Manually Validated Date,Method Category,Method Detection Limit,Minimum Detectable Activity,Northing,Original Lab Result,Parameter Category,Parameter Code,Parameter List Modified,Phase,Port Sequence #,Preparation Basis,Preparation Date,Preparation Method,Preparation Time,Primary or Confirmatory,Project #,PRS ID,QC Batch Sequence #,Quarter,Raw Lab Result,Raw Lab Result Units,Redox Conditions Qualifier,Redox Conditions Release Date,Reducing Conditions Holding Time Flag,Released for Analysis Date,Report Estimated Detection Limit,Report Instrument Detection Limit,Report Method Detection Limit,Report Minimum Detectable Activity,Report Uncertainty,Result Type,Retention Time,Round #,Rush Turnaround Time,Sample Delivery Group (SDG),Sample Depth Units,Sample End Depth,Sample Name,Sample Prep Lot ID,Sample QC Status Code,Sample Requestor,Sample Result Comments,Sample Retrieval Date,Sample Retrieval Time,Sample Start Depth,Samplers,Sampling Company,Sampling Event,Sampling Event End Date,Sampling Event End Time,Sampling Method,Sampling Plan ID,Sampling Program,Source Filename,Standard Reference Material,Subcontracted Lab ID,Task,Third Party Landowner Holding Time Flag,Unadjusted Lab Report Limit,Unadjusted Method Detection Limit,Uncertainty Type Code,Unknown Port,Uploaded Date,Usable,Validated by,Validated Date,Validation Level Code,Validation Qualifier,Validation Reason Codes,Validation Set Type Code,Validation Status Code,Vintage Code,Visual Inspection,Voided Sample Reason Code,Web Publish Date,Work Order #,WTR Source Flow
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid","2.19","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","6.58","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322964",,,,,,,,,,,,,,"1205909913","6.58","GELC","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid","Standard","10-29-2024",,"11-26-2024",,"2.19","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","2.19",,"1773920.326","2.19","ORGANIC","756426-58-1",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"2.19",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","1H, 1H, 2H, 2H-Perfluorohexanesulfonic acid","2.20","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","6.59","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322965",,,,,,,,,,,,,,"1205909913","6.59","GELC","1H, 1H, 2H, 2H-Perfluorohexane sulfonic acid (4:2 FTS)","Standard","10-29-2024",,"11-26-2024",,"2.20","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","2.20",,"1773920.326","2.20","ORGANIC","757124-72-4",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"2.20",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","2.22","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","6.65","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322966",,,,,,,,,,,,,,"1205909913","6.65","GELC","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","Standard","10-29-2024",,"11-26-2024",,"2.22","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","2.22",,"1773920.326","2.22","ORGANIC","763051-92-9",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"2.22",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","Perfluorododecanesulfonic acid","0.568","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","1.71","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322967",,,,,,,,,,,,,,"1205909913","1.71","GELC","Perfluorododecane sulfonic acid (PFDoS)","Standard","10-29-2024",,"11-26-2024",,"0.568","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","0.568",,"1773920.326","0.568","ORGANIC","79780-39-5",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"0.568",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","3-Perfluoroheptyl propanoic acid","11.7","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","35.2","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322968",,,,,,,,,,,,,,"1205909913","35.2","GELC","3-Perfluoroheptyl propanoic acid (FHpPA)","Standard","10-29-2024",,"11-26-2024",,"11.7","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","11.7",,"1773920.326","11.7","ORGANIC","812-70-4",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"11.7",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","Perfluoro-4-methoxybutanoic acid","1.17","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","3.52","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322969",,,,,,,,,,,,,,"1205909913","3.52","GELC","Perfluoro-4-methoxybutanic acid (PFMOBA)","Standard","10-29-2024",,"11-26-2024",,"1.17","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","1.17",,"1773920.326","1.17","ORGANIC","863090-89-5",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"1.17",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","3-Perfluoropentyl propanoic acid","11.7","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","35.2","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322970",,,,,,,,,,,,,,"1205909913","35.2","GELC","3-Perfluoropentyl propanoic acid (FPePA)","Standard","10-29-2024",,"11-26-2024",,"11.7","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","11.7",,"1773920.326","11.7","ORGANIC","914637-49-3",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"11.7",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","4,8-Dioxa-3H-perfluorononanoic Acid","2.22","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","6.65","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322971",,,,,,,,,,,,,,"1205909913","6.65","GELC","4,8-Dioxa-3H-perfluorononanoic acid (DONA)","Standard","10-29-2024",,"11-26-2024",,"2.22","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","2.22",,"1773920.326","2.22","ORGANIC","919005-14-4",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"2.22",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","Perfluorodecane sulfonate","0.566","ng/L","U","N","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","1.70","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322949",,,,,,,,,,,,,,"1205909913","1.70","GELC","Perfluorodecane sulfonic acid (PFDS)","Standard","10-29-2024",,"11-26-2024",,"0.566","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","0.566",,"1773920.326","0.566","ORGANIC","335-77-3",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"0.000","ng/L",,,,,,,"0.566",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","U","U_LAB",,"VAL",,,,"11-26-2024",,
"N3B","N","CASA-25-340614","SWA-1-1","10-24-2024","Perfluorohexanesulfonic acid","31.1","ng/L",,"Y","W","REG","WG","08:59","INV","35.875410300000","-106.314747800000","N",,"W","N3B-2025-260","EPA:1633","1.61","100",,"11-06-2024","Y","2700612",,,,"19:42","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1621235.301",,,"N",,,"UF",,"18322950",,,,,,,,,,,,,,"1205909913","1.61","GELC","Perfluorohexane sulfonic acid (PFHxS)","Standard","10-29-2024",,"11-26-2024",,"31.1","692469009",,"ng/L","03-11-2025 09:10:39",,,,,"N",,,,"SCPZ-1",,,"LCMS/MS","0.536",,"1773920.326","31.1","ORGANIC","355-46-4",,,,,"11-06-2024","EPA:1633","11:25",,,,,,"3540","ng/L",,,,,,,"0.536",,,"TRG","NA",,"N","692469","ft","18.33",,"2700604",,,,,,"13.0",,,"SWA-1-1 Oct MY25 Q1",,,"PP","16499","ASER-Watershed","N3B-2025-260.txt",,,,,,,,,"11-26-2024 15:03:58","Y","hwestbrook","11-26-2024 11:54:00","V2","NQ","NQ",,"VAL",,,,"11-26-2024",,
