Site ID,Screening Flag,Field Sample ID,Location ID,Sample Date,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Sample Time,Sample Usage Code,Latitude (Decimal),Longitude (Decimal),Filtered,Field Sample Comments,Lab Matrix,COC #,Lab Method,Report Detection Limit,% Moisture,AirNET Background Exclusion Flag,Analysis Date,Analysis Deferred,Analysis Lot ID,Analysis Run #,Analysis Subcontracted,Analysis Suite Code,Analysis Time,Analysis Type Code,Analytical Group Name,Background Comparison Class Code,Basis,Best Value,Best Value Status Code,Blank Correction,Calibration Reference ID,Composite,Composite Description,Composite Field Sample ID,Composite Type Code,Confidential,Count Duration,Count Duration Units,Critical Level (Lc),Data Steward Code,Dilution Factor,Easting,Error/Uncertainty,Estimated Detection Limit,Excavated,Expected Value,Field Filtered,Field Preparation Code,Field Sample Record Source ID,Field Sample Result Record #,Field Sample Result Record Source ID,Final Leachate pH,Full Width Half Max (FWHM),Holding Time Release Date,Initial Leachate Amount,Initial Leachate Amount Units,Initial Leachate pH,Initial Prep Amount,Initial Prep Amount Units,Instrument Detection Limit,Instrument ID,Intellus Holding Flag,Intellus Release Date,Lab Blank Sample ID,Lab Detection Limit,Lab ID,Lab Parameter Name,Lab QC Reporting Option,Lab Receipt Date,Lab Report Approved by,Lab Report Date,Lab Reporting Limit Type,Lab Result,Lab Sample ID,Lab Uncertainty,Lab Units,Last Modified Date,Leachate Extraction Fluid,Leachate Lot ID,Leachate Volume,Leachate Volume Units,Leached,Leached Date,Leached Time,Leaching Method,Location Alias,Manually Validated By,Manually Validated Date,Method Category,Method Detection Limit,Minimum Detectable Activity,Northing,Original Lab Result,Parameter Category,Parameter Code,Parameter List Modified,Phase,Port Sequence #,Preparation Basis,Preparation Date,Preparation Method,Preparation Time,Primary or Confirmatory,Project #,PRS ID,QC Batch Sequence #,Quarter,Raw Lab Result,Raw Lab Result Units,Redox Conditions Qualifier,Redox Conditions Release Date,Reducing Conditions Holding Time Flag,Released for Analysis Date,Report Estimated Detection Limit,Report Instrument Detection Limit,Report Method Detection Limit,Report Minimum Detectable Activity,Report Uncertainty,Result Type,Retention Time,Round #,Rush Turnaround Time,Sample Delivery Group (SDG),Sample Depth Units,Sample End Depth,Sample Name,Sample Prep Lot ID,Sample QC Status Code,Sample Requestor,Sample Result Comments,Sample Retrieval Date,Sample Retrieval Time,Sample Start Depth,Samplers,Sampling Company,Sampling Event,Sampling Event End Date,Sampling Event End Time,Sampling Method,Sampling Plan ID,Sampling Program,Source Filename,Standard Reference Material,Subcontracted Lab ID,Task,Third Party Landowner Holding Time Flag,Unadjusted Lab Report Limit,Unadjusted Method Detection Limit,Uncertainty Type Code,Unknown Port,Uploaded Date,Usable,Validated by,Validated Date,Validation Level Code,Validation Qualifier,Validation Reason Codes,Validation Set Type Code,Validation Status Code,Vintage Code,Visual Inspection,Voided Sample Reason Code,Web Publish Date,Work Order #,WTR Source Flow
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","1H, 1H, 2H, 2H-perfluorooctane sulfonic acid","2.28","ng/L","U","N","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","6.84","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149215",,,,,,,,,,,,,,"1205829037","6.84","GELC","1H, 1H, 2H, 2H-Perfluorooctane sulfonic acid (6:2 FTS)","Standard","08-01-2024",,"08-30-2024",,"2.28","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","2.28",,"1773067.61700000","2.28","ORGANIC","27619-97-2",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"152","ng/L",,,,,,,"2.28",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","U","U_LAB",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","ethyl perfluorooctanesulfonamidoacetic acid[N-]","1.26","ng/L","J","Y","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.80","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149216",,,,,,,,,,,,,,"1205829037","1.80","GELC","N-ethylperfluoro-1-octanesulfonamidoacetic acid","Standard","08-01-2024",,"08-30-2024",,"1.26","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.600",,"1773067.61700000","1.26","ORGANIC","2991-50-6",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"140","ng/L",,,,,,,"0.600",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","J","J_LAB",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Perfluorohexanoic acid","20.9","ng/L",,"Y","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.80","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149217",,,,,,,,,,,,,,"1205829037","1.80","GELC","Perfluorohexanoic acid (PFHxA)","Standard","08-01-2024",,"08-30-2024",,"20.9","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.600",,"1773067.61700000","20.9","ORGANIC","307-24-4",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"2330","ng/L",,,,,,,"0.600",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","NQ","NQ",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Perfluorododecanoic acid","0.600","ng/L","U","N","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.80","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149218",,,,,,,,,,,,,,"1205829037","1.80","GELC","Perfluorododecanoic acid (PFDoA)","Standard","08-01-2024",,"08-30-2024",,"0.600","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.600",,"1773067.61700000","0.600","ORGANIC","307-55-1",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"0.000","ng/L",,,,,,,"0.600",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","U","U_LAB",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Methylperfluoro-1-octanesulfonamide[N-]","0.600","ng/L","U","N","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.80","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149219",,,,,,,,,,,,,,"1205829037","1.80","GELC","N-methylperfluoro-1-octanesulfonamide (N-MeFOSA)","Standard","08-01-2024",,"08-30-2024",,"0.600","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.600",,"1773067.61700000","0.600","ORGANIC","31506-32-8",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"0.000","ng/L",,,,,,,"0.600",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","U","U_LAB",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Perfluorooctanoic acid","6.37","ng/L",,"Y","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.80","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149220",,,,,,,,,,,,,,"1205829037","1.80","GELC","Perfluorooctanoic acid (PFOA)","Standard","08-01-2024",,"08-30-2024",,"6.37","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.600",,"1773067.61700000","6.37","ORGANIC","335-67-1",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"709","ng/L",,,,,,,"0.600",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","NQ","NQ",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Perfluorodecanoic acid","1.10","ng/L","J","Y","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.80","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149221",,,,,,,,,,,,,,"1205829037","1.80","GELC","Perfluorodecanoic acid (PFDA)","Standard","08-01-2024",,"08-30-2024",,"1.10","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.600",,"1773067.61700000","1.10","ORGANIC","335-76-2",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"122","ng/L",,,,,,,"0.600",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","J","J_LAB",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Perfluorodecane sulfonate","0.579","ng/L","U","N","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.74","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149222",,,,,,,,,,,,,,"1205829037","1.74","GELC","Perfluorodecane sulfonic acid (PFDS)","Standard","08-01-2024",,"08-30-2024",,"0.579","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.579",,"1773067.61700000","0.579","ORGANIC","335-77-3",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"0.000","ng/L",,,,,,,"0.579",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","U","U_LAB",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","Perfluorohexanesulfonic acid","3.73","ng/L",,"Y","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","1.64","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149223",,,,,,,,,,,,,,"1205829037","1.64","GELC","Perfluorohexane sulfonic acid (PFHxS)","Standard","08-01-2024",,"08-30-2024",,"3.73","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","0.548",,"1773067.61700000","3.73","ORGANIC","355-46-4",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"415","ng/L",,,,,,,"0.548",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","NQ","NQ",,"VAL",,,,"08-30-2024",,
"N3B","N","CASA-24-332353","Sandia below Wetlands","07-30-2024","3-Perfluoropropyl propanoic acid","2.40","ng/L","U","N","W","REG","WS","08:53","INV","35.873070200000","-106.309845300000","N",,"W","N3B-2024-4337","EPA:1633","7.20","100",,"08-26-2024","Y","2660236",,,,"22:21","INIT","EPA:1633_PFAS_40a",,"N","Y",,,,"N",,,,,,,,,"1.00","1622687.14700000",,,"N",,,"UF",,"18149224",,,,,,,,,,,,,,"1205829037","7.20","GELC","3-Perfluoropropyl propanoic acid (FPrPA)","Standard","08-01-2024",,"08-30-2024",,"2.40","678558001",,"ng/L","03-11-2025 09:10:17",,,,,"N",,,,"E123",,,"LCMS/MS","2.40",,"1773067.61700000","2.40","ORGANIC","356-02-5",,,,,"08-22-2024","EPA:1633","15:36",,,,,,"0.000","ng/L",,,,,,,"2.40",,,"TRG","NA",,"N","678558",,,,"2660235",,,,,,,,,"Sandia Below Wetlands SW MY24 Q4",,,"DC","16285","ASER-Watershed","N3B-2024-4337Rev1.txt",,,,,,,,,"08-30-2024 12:30:09","Y","hwestbrook","08-30-2024 12:09:00","V2","U","U_LAB",,"VAL",,,,"08-30-2024",,
